cohort,key,raw_key,model_a,model_b,mean_a,mean_b,p_two_tailed_adj
HPP,Allergy,dis__allergy,lejepa,dino,0.6001,0.5975,0.52941
HPP,Allergy,dis__allergy,lejepa,tabular,0.6001,0.6003,1.0
HPP,Allergy,dis__allergy,lejepa,covariates,0.6001,0.5901,0.01585
HPP,Allergy,dis__allergy,dino,tabular,0.5975,0.6003,0.58916
HPP,Allergy,dis__allergy,dino,covariates,0.5975,0.5901,0.16125
HPP,Allergy,dis__allergy,tabular,covariates,0.6003,0.5901,0.01023
HPP,Anal Fissure,dis__anal_fissure,lejepa,dino,0.5232,0.4944,0.12981
HPP,Anal Fissure,dis__anal_fissure,lejepa,tabular,0.5232,0.5083,0.31641
HPP,Anal Fissure,dis__anal_fissure,lejepa,covariates,0.5232,0.5004,0.12981
HPP,Anal Fissure,dis__anal_fissure,dino,tabular,0.4944,0.5083,0.801
HPP,Anal Fissure,dis__anal_fissure,dino,covariates,0.4944,0.5004,0.90208
HPP,Anal Fissure,dis__anal_fissure,tabular,covariates,0.5083,0.5004,0.40673
HPP,Anemia,dis__anemia,lejepa,dino,0.6846,0.6745,0.01023
HPP,Anemia,dis__anemia,lejepa,tabular,0.6846,0.6755,0.02083
HPP,Anemia,dis__anemia,lejepa,covariates,0.6846,0.6666,0.01023
HPP,Anemia,dis__anemia,dino,tabular,0.6745,0.6755,0.90208
HPP,Anemia,dis__anemia,dino,covariates,0.6745,0.6666,0.06563
HPP,Anemia,dis__anemia,tabular,covariates,0.6755,0.6666,0.01023
HPP,Anxiety,dis__anxiety,lejepa,dino,0.648,0.639,0.2298
HPP,Anxiety,dis__anxiety,lejepa,tabular,0.648,0.6352,0.16125
HPP,Anxiety,dis__anxiety,lejepa,covariates,0.648,0.6268,0.01585
HPP,Anxiety,dis__anxiety,dino,tabular,0.639,0.6352,0.74074
HPP,Anxiety,dis__anxiety,dino,covariates,0.639,0.6268,0.06563
HPP,Anxiety,dis__anxiety,tabular,covariates,0.6352,0.6268,0.2298
HPP,Asthma,dis__asthma,lejepa,dino,0.5686,0.6155,0.01023
HPP,Asthma,dis__asthma,lejepa,tabular,0.5686,0.5751,0.74074
HPP,Asthma,dis__asthma,lejepa,covariates,0.5686,0.5647,0.74074
HPP,Asthma,dis__asthma,dino,tabular,0.6155,0.5751,0.0368
HPP,Asthma,dis__asthma,dino,covariates,0.6155,0.5647,0.01023
HPP,Asthma,dis__asthma,tabular,covariates,0.5751,0.5647,0.31641
HPP,Atopic Derm.,dis__atopic_dermatitis,lejepa,dino,0.5717,0.5834,0.85569
HPP,Atopic Derm.,dis__atopic_dermatitis,lejepa,tabular,0.5717,0.5693,0.90208
HPP,Atopic Derm.,dis__atopic_dermatitis,lejepa,covariates,0.5717,0.5779,0.95161
HPP,Atopic Derm.,dis__atopic_dermatitis,dino,tabular,0.5834,0.5693,0.74074
HPP,Atopic Derm.,dis__atopic_dermatitis,dino,covariates,0.5834,0.5779,0.85569
HPP,Atopic Derm.,dis__atopic_dermatitis,tabular,covariates,0.5693,0.5779,0.64432
HPP,ADHD,dis__attention_deficit_disorder_adhd,lejepa,dino,0.5923,0.5817,0.02083
HPP,ADHD,dis__attention_deficit_disorder_adhd,lejepa,tabular,0.5923,0.5791,0.01585
HPP,ADHD,dis__attention_deficit_disorder_adhd,lejepa,covariates,0.5923,0.5791,0.01023
HPP,ADHD,dis__attention_deficit_disorder_adhd,dino,tabular,0.5817,0.5791,0.64432
HPP,ADHD,dis__attention_deficit_disorder_adhd,dino,covariates,0.5817,0.5791,0.46875
HPP,ADHD,dis__attention_deficit_disorder_adhd,tabular,covariates,0.5791,0.5791,0.58916
HPP,B12 Deficiency,dis__b12_deficiency,lejepa,dino,0.5918,0.5811,0.1034
HPP,B12 Deficiency,dis__b12_deficiency,lejepa,tabular,0.5918,0.5812,0.19597
HPP,B12 Deficiency,dis__b12_deficiency,lejepa,covariates,0.5918,0.5654,0.01023
HPP,B12 Deficiency,dis__b12_deficiency,dino,tabular,0.5811,0.5812,0.90208
HPP,B12 Deficiency,dis__b12_deficiency,dino,covariates,0.5811,0.5654,0.0368
HPP,B12 Deficiency,dis__b12_deficiency,tabular,covariates,0.5812,0.5654,0.01023
HPP,Back Pain ,dis__back_pain,lejepa,dino,0.5792,0.5655,0.0368
HPP,Back Pain ,dis__back_pain,lejepa,tabular,0.5792,0.5743,0.58916
HPP,Back Pain ,dis__back_pain,lejepa,covariates,0.5792,0.5457,0.01023
HPP,Back Pain ,dis__back_pain,dino,tabular,0.5655,0.5743,0.40673
HPP,Back Pain ,dis__back_pain,dino,covariates,0.5655,0.5457,0.01585
HPP,Back Pain ,dis__back_pain,tabular,covariates,0.5743,0.5457,0.01023
HPP,BCC,dis__basal_cell_carcinoma,lejepa,dino,0.6698,0.6698,0.95161
HPP,BCC,dis__basal_cell_carcinoma,lejepa,tabular,0.6698,0.6773,0.19597
HPP,BCC,dis__basal_cell_carcinoma,lejepa,covariates,0.6698,0.676,0.12981
HPP,BCC,dis__basal_cell_carcinoma,dino,tabular,0.6698,0.6773,0.40673
HPP,BCC,dis__basal_cell_carcinoma,dino,covariates,0.6698,0.676,0.74074
HPP,BCC,dis__basal_cell_carcinoma,tabular,covariates,0.6773,0.676,0.52941
HPP,Breast Cancer,dis__breast_cancer,lejepa,dino,0.6332,0.5911,0.2298
HPP,Breast Cancer,dis__breast_cancer,lejepa,tabular,0.6332,0.5433,0.02083
HPP,Breast Cancer,dis__breast_cancer,lejepa,covariates,0.6332,0.538,0.01023
HPP,Breast Cancer,dis__breast_cancer,dino,tabular,0.5911,0.5433,0.16125
HPP,Breast Cancer,dis__breast_cancer,dino,covariates,0.5911,0.538,0.2298
HPP,Breast Cancer,dis__breast_cancer,tabular,covariates,0.5433,0.538,1.0
HPP,Chr. Sinusitis,dis__chronic_sinusitis,lejepa,dino,0.6174,0.6159,0.801
HPP,Chr. Sinusitis,dis__chronic_sinusitis,lejepa,tabular,0.6174,0.614,0.74074
HPP,Chr. Sinusitis,dis__chronic_sinusitis,lejepa,covariates,0.6174,0.6227,1.0
HPP,Chr. Sinusitis,dis__chronic_sinusitis,dino,tabular,0.6159,0.614,0.85569
HPP,Chr. Sinusitis,dis__chronic_sinusitis,dino,covariates,0.6159,0.6227,0.64432
HPP,Chr. Sinusitis,dis__chronic_sinusitis,tabular,covariates,0.614,0.6227,0.64432
HPP,Covid-19,dis__covid_19,lejepa,dino,0.5553,0.5299,0.0368
HPP,Covid-19,dis__covid_19,lejepa,tabular,0.5553,0.5239,0.01023
HPP,Covid-19,dis__covid_19,lejepa,covariates,0.5553,0.5029,0.01023
HPP,Covid-19,dis__covid_19,dino,tabular,0.5299,0.5239,0.64432
HPP,Covid-19,dis__covid_19,dino,covariates,0.5299,0.5029,0.01585
HPP,Covid-19,dis__covid_19,tabular,covariates,0.5239,0.5029,0.06563
HPP,Depression,dis__depression,lejepa,dino,0.6319,0.6473,0.2298
HPP,Depression,dis__depression,lejepa,tabular,0.6319,0.6182,0.2298
HPP,Depression,dis__depression,lejepa,covariates,0.6319,0.6142,0.02083
HPP,Depression,dis__depression,dino,tabular,0.6473,0.6182,0.0293
HPP,Depression,dis__depression,dino,covariates,0.6473,0.6142,0.0368
HPP,Depression,dis__depression,tabular,covariates,0.6182,0.6142,0.69701
HPP,Diabetes,dis__diabetes,lejepa,dino,0.7377,0.6788,0.06563
HPP,Diabetes,dis__diabetes,lejepa,tabular,0.7377,0.6678,0.0293
HPP,Diabetes,dis__diabetes,lejepa,covariates,0.7377,0.5605,0.01023
HPP,Diabetes,dis__diabetes,dino,tabular,0.6788,0.6678,0.74074
HPP,Diabetes,dis__diabetes,dino,covariates,0.6788,0.5605,0.01023
HPP,Diabetes,dis__diabetes,tabular,covariates,0.6678,0.5605,0.01023
HPP,Endometriosis,dis__endometriosis_and_adenomyosis,lejepa,dino,0.7763,0.7768,0.95161
HPP,Endometriosis,dis__endometriosis_and_adenomyosis,lejepa,tabular,0.7763,0.7766,1.0
HPP,Endometriosis,dis__endometriosis_and_adenomyosis,lejepa,covariates,0.7763,0.7777,0.74074
HPP,Endometriosis,dis__endometriosis_and_adenomyosis,dino,tabular,0.7768,0.7766,1.0
HPP,Endometriosis,dis__endometriosis_and_adenomyosis,dino,covariates,0.7768,0.7777,0.90208
HPP,Endometriosis,dis__endometriosis_and_adenomyosis,tabular,covariates,0.7766,0.7777,0.69701
HPP,Episodic Vertigo,dis__episodic_vertigo,lejepa,dino,0.6164,0.6322,0.04934
HPP,Episodic Vertigo,dis__episodic_vertigo,lejepa,tabular,0.6164,0.6232,0.36779
HPP,Episodic Vertigo,dis__episodic_vertigo,lejepa,covariates,0.6164,0.6155,0.85569
HPP,Episodic Vertigo,dis__episodic_vertigo,dino,tabular,0.6322,0.6232,0.19597
HPP,Episodic Vertigo,dis__episodic_vertigo,dino,covariates,0.6322,0.6155,0.0368
HPP,Episodic Vertigo,dis__episodic_vertigo,tabular,covariates,0.6232,0.6155,0.12981
HPP,Fatty Liver,dis__fatty_liver_disease,lejepa,dino,0.7738,0.7601,0.0293
HPP,Fatty Liver,dis__fatty_liver_disease,lejepa,tabular,0.7738,0.7452,0.01023
HPP,Fatty Liver,dis__fatty_liver_disease,lejepa,covariates,0.7738,0.7207,0.01023
HPP,Fatty Liver,dis__fatty_liver_disease,dino,tabular,0.7601,0.7452,0.04934
HPP,Fatty Liver,dis__fatty_liver_disease,dino,covariates,0.7601,0.7207,0.01023
HPP,Fatty Liver,dis__fatty_liver_disease,tabular,covariates,0.7452,0.7207,0.01023
HPP,Fibromyalgia,dis__fibromyalgia,lejepa,dino,0.7569,0.7471,0.40673
HPP,Fibromyalgia,dis__fibromyalgia,lejepa,tabular,0.7569,0.7427,0.40673
HPP,Fibromyalgia,dis__fibromyalgia,lejepa,covariates,0.7569,0.7254,0.02083
HPP,Fibromyalgia,dis__fibromyalgia,dino,tabular,0.7471,0.7427,0.95161
HPP,Fibromyalgia,dis__fibromyalgia,dino,covariates,0.7471,0.7254,0.0368
HPP,Fibromyalgia,dis__fibromyalgia,tabular,covariates,0.7427,0.7254,0.31641
HPP,Folic Acid Deficiency,dis__folic_acid_deficiency,lejepa,dino,0.5931,0.5431,0.69701
HPP,Folic Acid Deficiency,dis__folic_acid_deficiency,lejepa,tabular,0.5931,0.6172,0.31641
HPP,Folic Acid Deficiency,dis__folic_acid_deficiency,lejepa,covariates,0.5931,0.6067,0.95161
HPP,Folic Acid Deficiency,dis__folic_acid_deficiency,dino,tabular,0.5431,0.6172,0.08415
HPP,Folic Acid Deficiency,dis__folic_acid_deficiency,dino,covariates,0.5431,0.6067,0.52941
HPP,Folic Acid Deficiency,dis__folic_acid_deficiency,tabular,covariates,0.6172,0.6067,0.801
HPP,Fracture,dis__fracture,lejepa,dino,0.6019,0.5895,0.36779
HPP,Fracture,dis__fracture,lejepa,tabular,0.6019,0.5769,0.01023
HPP,Fracture,dis__fracture,lejepa,covariates,0.6019,0.5264,0.01023
HPP,Fracture,dis__fracture,dino,tabular,0.5895,0.5769,0.27293
HPP,Fracture,dis__fracture,dino,covariates,0.5895,0.5264,0.01023
HPP,Fracture,dis__fracture,tabular,covariates,0.5769,0.5264,0.01023
HPP,G6Pd,dis__g6pd,lejepa,dino,0.5723,0.5942,0.64432
HPP,G6Pd,dis__g6pd,lejepa,tabular,0.5723,0.5245,0.2298
HPP,G6Pd,dis__g6pd,lejepa,covariates,0.5723,0.5807,0.74074
HPP,G6Pd,dis__g6pd,dino,tabular,0.5942,0.5245,0.0368
HPP,G6Pd,dis__g6pd,dino,covariates,0.5942,0.5807,0.64432
HPP,G6Pd,dis__g6pd,tabular,covariates,0.5245,0.5807,0.12981
HPP,Gallstones,dis__gallstone_disease,lejepa,dino,0.7135,0.6865,0.01023
HPP,Gallstones,dis__gallstone_disease,lejepa,tabular,0.7135,0.6918,0.01585
HPP,Gallstones,dis__gallstone_disease,lejepa,covariates,0.7135,0.6878,0.01585
HPP,Gallstones,dis__gallstone_disease,dino,tabular,0.6865,0.6918,0.16125
HPP,Gallstones,dis__gallstone_disease,dino,covariates,0.6865,0.6878,0.801
HPP,Gallstones,dis__gallstone_disease,tabular,covariates,0.6918,0.6878,0.2298
HPP,Haemorrhoids,dis__haemorrhoids,lejepa,dino,0.5241,0.5209,0.58916
HPP,Haemorrhoids,dis__haemorrhoids,lejepa,tabular,0.5241,0.5215,1.0
HPP,Haemorrhoids,dis__haemorrhoids,lejepa,covariates,0.5241,0.5225,1.0
HPP,Haemorrhoids,dis__haemorrhoids,dino,tabular,0.5209,0.5215,0.801
HPP,Haemorrhoids,dis__haemorrhoids,dino,covariates,0.5209,0.5225,0.85569
HPP,Haemorrhoids,dis__haemorrhoids,tabular,covariates,0.5215,0.5225,1.0
HPP,Headache,dis__headache,lejepa,dino,0.6286,0.6313,0.52941
HPP,Headache,dis__headache,lejepa,tabular,0.6286,0.6479,0.0368
HPP,Headache,dis__headache,lejepa,covariates,0.6286,0.628,0.64432
HPP,Headache,dis__headache,dino,tabular,0.6313,0.6479,0.1034
HPP,Headache,dis__headache,dino,covariates,0.6313,0.628,0.90208
HPP,Headache,dis__headache,tabular,covariates,0.6479,0.628,0.16125
HPP,Hearing Loss,dis__hearing_loss,lejepa,dino,0.6553,0.655,1.0
HPP,Hearing Loss,dis__hearing_loss,lejepa,tabular,0.6553,0.6593,0.36779
HPP,Hearing Loss,dis__hearing_loss,lejepa,covariates,0.6553,0.6563,0.85569
HPP,Hearing Loss,dis__hearing_loss,dino,tabular,0.655,0.6593,0.40673
HPP,Hearing Loss,dis__hearing_loss,dino,covariates,0.655,0.6563,0.74074
HPP,Hearing Loss,dis__hearing_loss,tabular,covariates,0.6593,0.6563,0.40673
HPP,Heart Valve Disease,dis__heart_valve_disease,lejepa,dino,0.5286,0.4891,0.04934
HPP,Heart Valve Disease,dis__heart_valve_disease,lejepa,tabular,0.5286,0.5139,0.58916
HPP,Heart Valve Disease,dis__heart_valve_disease,lejepa,covariates,0.5286,0.546,0.69701
HPP,Heart Valve Disease,dis__heart_valve_disease,dino,tabular,0.4891,0.5139,0.40673
HPP,Heart Valve Disease,dis__heart_valve_disease,dino,covariates,0.4891,0.546,0.04934
HPP,Heart Valve Disease,dis__heart_valve_disease,tabular,covariates,0.5139,0.546,0.0293
HPP,Hyperlipidemia,dis__hyperlipidemia,lejepa,dino,0.735,0.7213,0.01023
HPP,Hyperlipidemia,dis__hyperlipidemia,lejepa,tabular,0.735,0.7265,0.0368
HPP,Hyperlipidemia,dis__hyperlipidemia,lejepa,covariates,0.735,0.7006,0.01023
HPP,Hyperlipidemia,dis__hyperlipidemia,dino,tabular,0.7213,0.7265,0.19597
HPP,Hyperlipidemia,dis__hyperlipidemia,dino,covariates,0.7213,0.7006,0.01023
HPP,Hyperlipidemia,dis__hyperlipidemia,tabular,covariates,0.7265,0.7006,0.01023
HPP,Hypertension,dis__hypertension,lejepa,dino,0.801,0.796,0.01585
HPP,Hypertension,dis__hypertension,lejepa,tabular,0.801,0.7873,0.01023
HPP,Hypertension,dis__hypertension,lejepa,covariates,0.801,0.7763,0.01023
HPP,Hypertension,dis__hypertension,dino,tabular,0.796,0.7873,0.02083
HPP,Hypertension,dis__hypertension,dino,covariates,0.796,0.7763,0.01023
HPP,Hypertension,dis__hypertension,tabular,covariates,0.7873,0.7763,0.02083
HPP,Hyperthyroidism,dis__hyperthyroidism,lejepa,dino,0.6215,0.6027,0.1034
HPP,Hyperthyroidism,dis__hyperthyroidism,lejepa,tabular,0.6215,0.6026,0.02083
HPP,Hyperthyroidism,dis__hyperthyroidism,lejepa,covariates,0.6215,0.6072,0.08415
HPP,Hyperthyroidism,dis__hyperthyroidism,dino,tabular,0.6027,0.6026,0.95161
HPP,Hyperthyroidism,dis__hyperthyroidism,dino,covariates,0.6027,0.6072,0.85569
HPP,Hyperthyroidism,dis__hyperthyroidism,tabular,covariates,0.6026,0.6072,0.27293
HPP,Hypothyroidism,dis__hypothyroidism,lejepa,dino,0.6659,0.6592,0.12981
HPP,Hypothyroidism,dis__hypothyroidism,lejepa,tabular,0.6659,0.6744,0.1034
HPP,Hypothyroidism,dis__hypothyroidism,lejepa,covariates,0.6659,0.6705,0.27293
HPP,Hypothyroidism,dis__hypothyroidism,dino,tabular,0.6592,0.6744,0.01585
HPP,Hypothyroidism,dis__hypothyroidism,dino,covariates,0.6592,0.6705,0.1034
HPP,Hypothyroidism,dis__hypothyroidism,tabular,covariates,0.6744,0.6705,0.36779
HPP,Insomnia,dis__insomnia,lejepa,dino,0.5223,0.5538,0.12981
HPP,Insomnia,dis__insomnia,lejepa,tabular,0.5223,0.5579,0.08415
HPP,Insomnia,dis__insomnia,lejepa,covariates,0.5223,0.5055,0.27293
HPP,Insomnia,dis__insomnia,dino,tabular,0.5538,0.5579,0.90208
HPP,Insomnia,dis__insomnia,dino,covariates,0.5538,0.5055,0.04934
HPP,Insomnia,dis__insomnia,tabular,covariates,0.5579,0.5055,0.01585
HPP,IBS,dis__irritable_bowel_syndrome_ibs,lejepa,dino,0.6428,0.6375,0.14844
HPP,IBS,dis__irritable_bowel_syndrome_ibs,lejepa,tabular,0.6428,0.6429,0.95161
HPP,IBS,dis__irritable_bowel_syndrome_ibs,lejepa,covariates,0.6428,0.6345,0.36779
HPP,IBS,dis__irritable_bowel_syndrome_ibs,dino,tabular,0.6375,0.6429,0.36779
HPP,IBS,dis__irritable_bowel_syndrome_ibs,dino,covariates,0.6375,0.6345,0.95161
HPP,IBS,dis__irritable_bowel_syndrome_ibs,tabular,covariates,0.6429,0.6345,0.04934
HPP,Ischemic HD,dis__ischemic_heart_disease,lejepa,dino,0.7521,0.7434,0.58916
HPP,Ischemic HD,dis__ischemic_heart_disease,lejepa,tabular,0.7521,0.7561,0.69701
HPP,Ischemic HD,dis__ischemic_heart_disease,lejepa,covariates,0.7521,0.7513,0.90208
HPP,Ischemic HD,dis__ischemic_heart_disease,dino,tabular,0.7434,0.7561,0.1034
HPP,Ischemic HD,dis__ischemic_heart_disease,dino,covariates,0.7434,0.7513,0.52941
HPP,Ischemic HD,dis__ischemic_heart_disease,tabular,covariates,0.7561,0.7513,0.52941
HPP,Migraine,dis__migraine,lejepa,dino,0.6753,0.6612,0.0293
HPP,Migraine,dis__migraine,lejepa,tabular,0.6753,0.6652,0.16125
HPP,Migraine,dis__migraine,lejepa,covariates,0.6753,0.6576,0.01585
HPP,Migraine,dis__migraine,dino,tabular,0.6612,0.6652,0.90208
HPP,Migraine,dis__migraine,dino,covariates,0.6612,0.6576,0.69701
HPP,Migraine,dis__migraine,tabular,covariates,0.6652,0.6576,0.08415
HPP,Obesity,dis__obesity,lejepa,dino,0.9077,0.9049,0.08415
HPP,Obesity,dis__obesity,lejepa,tabular,0.9077,0.8996,0.01023
HPP,Obesity,dis__obesity,lejepa,covariates,0.9077,0.8948,0.01023
HPP,Obesity,dis__obesity,dino,tabular,0.9049,0.8996,0.0293
HPP,Obesity,dis__obesity,dino,covariates,0.9049,0.8948,0.01023
HPP,Obesity,dis__obesity,tabular,covariates,0.8996,0.8948,0.01023
HPP,Oral Aphthae,dis__oral_aphthae,lejepa,dino,0.5268,0.5215,0.69701
HPP,Oral Aphthae,dis__oral_aphthae,lejepa,tabular,0.5268,0.5722,0.1034
HPP,Oral Aphthae,dis__oral_aphthae,lejepa,covariates,0.5268,0.5418,0.69701
HPP,Oral Aphthae,dis__oral_aphthae,dino,tabular,0.5215,0.5722,0.06563
HPP,Oral Aphthae,dis__oral_aphthae,dino,covariates,0.5215,0.5418,0.31641
HPP,Oral Aphthae,dis__oral_aphthae,tabular,covariates,0.5722,0.5418,0.0293
HPP,Osteoarthritis,dis__osteoarthritis,lejepa,dino,0.7597,0.7426,0.01585
HPP,Osteoarthritis,dis__osteoarthritis,lejepa,tabular,0.7597,0.7341,0.01023
HPP,Osteoarthritis,dis__osteoarthritis,lejepa,covariates,0.7597,0.7376,0.01585
HPP,Osteoarthritis,dis__osteoarthritis,dino,tabular,0.7426,0.7341,0.08415
HPP,Osteoarthritis,dis__osteoarthritis,dino,covariates,0.7426,0.7376,0.46875
HPP,Osteoarthritis,dis__osteoarthritis,tabular,covariates,0.7341,0.7376,0.40673
HPP,Osteopenia,dis__osteopenia,lejepa,dino,0.8959,0.8562,0.01023
HPP,Osteopenia,dis__osteopenia,lejepa,tabular,0.8959,0.9098,0.02083
HPP,Osteopenia,dis__osteopenia,lejepa,covariates,0.8959,0.8192,0.01023
HPP,Osteopenia,dis__osteopenia,dino,tabular,0.8562,0.9098,0.01023
HPP,Osteopenia,dis__osteopenia,dino,covariates,0.8562,0.8192,0.01023
HPP,Osteopenia,dis__osteopenia,tabular,covariates,0.9098,0.8192,0.01023
HPP,Osteoporosis,dis__osteoporosis,lejepa,dino,0.9175,0.8879,0.01585
