Disease,N_positives,n_seeds,Covariates (age/sex/BMI) AUROC,Covariates (age/sex/BMI) SE,LeDXA + covariates AUROC,LeDXA + covariates SE,DINOv3 + covariates AUROC,DINOv3 + covariates SE,DXA-tabular + covariates AUROC,DXA-tabular + covariates SE,"P(LeDXA vs covariates, FDR)","P(LeDXA vs DXA-tabular, FDR)","P(LeDXA vs DINOv3, FDR)"
ADHD,1835,10,0.5791,0.0055,0.5923,0.0062,0.5817,0.0048,0.5791,0.0048,0.0102,0.0158,0.0208
Allergy,2246,10,0.5901,0.0052,0.6001,0.0048,0.5975,0.0047,0.6003,0.005,0.0158,1.0,0.529
Anal Fissure,665,10,0.5004,0.01,0.5232,0.0077,0.4944,0.0111,0.5083,0.0085,0.13,0.316,0.13
Anemia,523,10,0.6666,0.0058,0.6846,0.0072,0.6745,0.0074,0.6755,0.006,0.0102,0.0208,0.0102
Anxiety,390,10,0.6268,0.0123,0.648,0.0141,0.639,0.0145,0.6352,0.0138,0.0158,0.161,0.23
Asthma,573,10,0.5647,0.012,0.5686,0.0082,0.6155,0.0086,0.5751,0.0072,0.741,0.741,0.0102
Atopic Derm.,361,10,0.5779,0.0101,0.5717,0.0144,0.5834,0.0131,0.5693,0.0109,0.952,0.902,0.856
B12 Deficiency,528,10,0.5654,0.0086,0.5918,0.0068,0.5811,0.0057,0.5812,0.0086,0.0102,0.196,0.103
BCC,224,10,0.676,0.0079,0.6698,0.0078,0.6698,0.0095,0.6773,0.0104,0.13,0.196,0.952
Back Pain ,2055,10,0.5457,0.0044,0.5792,0.0053,0.5655,0.0027,0.5743,0.0059,0.0102,0.589,0.0368
Breast Cancer,142,10,0.538,0.0091,0.6332,0.0248,0.5911,0.0281,0.5433,0.0225,0.0102,0.0208,0.23
Chr. Sinusitis,381,10,0.6227,0.0089,0.6174,0.011,0.6159,0.0108,0.614,0.0121,1.0,0.741,0.801
Covid-19,785,10,0.5029,0.009,0.5553,0.0055,0.5299,0.0106,0.5239,0.0086,0.0102,0.0102,0.0368
Depression,390,10,0.6142,0.0108,0.6319,0.0128,0.6473,0.0101,0.6182,0.0103,0.0208,0.23,0.23
Diabetes,133,10,0.5605,0.0216,0.7377,0.0125,0.6788,0.0186,0.6678,0.0186,0.0102,0.0293,0.0656
Endometriosis,244,10,0.7777,0.0131,0.7763,0.0137,0.7768,0.0132,0.7766,0.0131,0.741,1.0,0.952
Episodic Vertigo,276,10,0.6155,0.0148,0.6164,0.0145,0.6322,0.0127,0.6232,0.0139,0.856,0.368,0.0493
Fatty Liver,606,10,0.7207,0.0084,0.7738,0.0072,0.7601,0.0069,0.7452,0.0055,0.0102,0.0102,0.0293
Fibromyalgia,129,10,0.7254,0.0167,0.7569,0.0174,0.7471,0.0178,0.7427,0.0148,0.0208,0.407,0.407
Folic Acid Deficiency,100,10,0.6067,0.0307,0.5931,0.0225,0.5431,0.0326,0.6172,0.0236,0.952,0.316,0.697
Fracture,1004,10,0.5264,0.0094,0.6019,0.0067,0.5895,0.0079,0.5769,0.0056,0.0102,0.0102,0.368
G6Pd,114,10,0.5807,0.0121,0.5723,0.0177,0.5942,0.0176,0.5245,0.0203,0.741,0.23,0.644
Gallstones,419,10,0.6878,0.014,0.7135,0.012,0.6865,0.0126,0.6918,0.0136,0.0158,0.0158,0.0102
Haemorrhoids,2167,10,0.5225,0.0041,0.5241,0.0039,0.5209,0.003,0.5215,0.0037,1.0,1.0,0.589
Headache,254,10,0.628,0.0131,0.6286,0.0155,0.6313,0.0127,0.6479,0.0179,0.644,0.0368,0.529
Hearing Loss,438,10,0.6563,0.014,0.6553,0.0126,0.655,0.0128,0.6593,0.0143,0.856,0.368,1.0
Heart Valve Disease,156,10,0.546,0.0148,0.5286,0.0137,0.4891,0.0148,0.5139,0.0113,0.697,0.589,0.0493
Hyperlipidemia,2289,10,0.7006,0.005,0.735,0.0049,0.7213,0.0055,0.7265,0.0048,0.0102,0.0368,0.0102
Hypertension,1095,10,0.7763,0.0069,0.801,0.0063,0.796,0.0062,0.7873,0.0065,0.0102,0.0102,0.0158
Hyperthyroidism,149,10,0.6072,0.0256,0.6215,0.0262,0.6027,0.0236,0.6026,0.0268,0.0842,0.0208,0.103
Hypothyroidism,696,10,0.6705,0.0064,0.6659,0.007,0.6592,0.0071,0.6744,0.0062,0.273,0.103,0.13
IBS,407,10,0.6345,0.0075,0.6428,0.0067,0.6375,0.0071,0.6429,0.0078,0.368,0.952,0.148
Insomnia,173,10,0.5055,0.014,0.5223,0.0136,0.5538,0.0194,0.5579,0.0171,0.273,0.0842,0.13
Ischemic HD,123,10,0.7513,0.0133,0.7521,0.0151,0.7434,0.0096,0.7561,0.0146,0.902,0.697,0.589
Migraine,623,10,0.6576,0.0066,0.6753,0.0064,0.6612,0.0057,0.6652,0.0083,0.0158,0.161,0.0293
Obesity,562,10,0.8948,0.0042,0.9077,0.0042,0.9049,0.0042,0.8996,0.004,0.0102,0.0102,0.0842
Oral Aphthae,397,10,0.5418,0.0119,0.5268,0.0092,0.5215,0.0082,0.5722,0.0131,0.697,0.103,0.697
Osteoarthritis,303,10,0.7376,0.0126,0.7597,0.0124,0.7426,0.0113,0.7341,0.0123,0.0158,0.0102,0.0158
PCOS,237,10,0.6169,0.0102,0.6165,0.0086,0.6147,0.0093,0.6122,0.0097,0.952,0.741,0.741
Peptic Dis,207,10,0.6139,0.0161,0.6023,0.0178,0.6023,0.0157,0.6088,0.0151,0.0293,0.407,0.856
Peptic Ulcer,1132,10,0.5501,0.0112,0.5607,0.01,0.5517,0.0072,0.5531,0.0099,0.0493,0.0158,0.273
Prediabetes,832,10,0.6804,0.0077,0.7217,0.0072,0.712,0.0064,0.7148,0.007,0.0102,0.23,0.0293
Psoriasis,291,10,0.5688,0.015,0.5299,0.012,0.5188,0.0113,0.5459,0.0099,0.0102,0.0842,0.407
Sleep Apnea,309,10,0.7537,0.0109,0.7738,0.0079,0.7663,0.0087,0.7527,0.0094,0.0293,0.0102,0.103
UTI,1090,10,0.7576,0.0023,0.7736,0.0046,0.77,0.0056,0.7669,0.0059,0.0293,0.316,0.407
Urinary Stones,307,10,0.6975,0.0159,0.735,0.0129,0.7117,0.0135,0.7009,0.0138,0.0102,0.0102,0.0158
